c2,c0,729,129,229,ff9a,
566446,2613877,1377764,894061,458231,24678,
2174,8036,5991,3671,2301,3054,
43794,189483,110432,69791,37348,6082,
44253,203541,113520,70513,40337,6535,
67952,314806,208569,150345,56140,41638,
34449,151683,82592,52759,27809,6981,
47936,235424,143784,85254,54283,5510,
106441,484633,266439,163577,95038,8697,
34445,151668,83400,53019,28348,6200,
302067,1288579,507547,358037,146901,14527,
618416,2942332,1437952,966936,452296,11086,
21307,100638,72011,43607,26456,11872,
15220,64998,38989,25295,12470,6937,
13357,56666,31914,20027,10834,3207,
49051,259396,118163,70368,45413,7239,
13257,56178,30722,19299,10423,3889,
37807,179987,101849,60075,39371,4144,
121220,541408,315688,195296,110276,13652,
4112386,21127432,10578017,6761167,3711623,140448,
2059439,8436248,3226773,2130648,1055828,68220,
1484919,6898427,3452079,2261475,1138382,103652,
124769,492779,182046,121124,58461,6340,
35079,154394,98623,62763,33569,7140,
57713,257989,142777,89321,49934,9383,
4870,21199,13021,7676,5023,6152,
35040,154273,85414,54271,29055,6891,
78575,352098,182819,112774,66016,11890,
1113518,5995499,3585560,2203836,1320563,89674,
793479,3913104,2352162,1523498,793257,40964,
132924,526395,190499,127956,59842,6886,
50251,231460,140320,87164,49725,7712,
9150,44016,29330,18649,10036,4780,
620301,2949247,1451234,976517,455683,15484,
225759,902008,336106,223913,106321,12584,
1639,7640,5367,3302,1954,3523,
145983,606963,271647,174208,92354,21529,
39024,186095,106179,62606,41078,6205,
105918,478450,277059,168489,100130,8584,
16548,70233,40990,25925,13848,3931,
4194,19407,14733,10164,4007,4775,
18677,81311,51004,31610,18000,7402,
505867,2348814,1185094,766287,399012,19210,
37737,165794,100027,63788,33909,5444,
45948,209204,118686,74196,41692,6415,
4172,20643,16225,9642,6329,6485,
37895,166498,94394,59925,32135,5774,
48973,236916,142919,85479,54250,7005,
201234,953072,471732,285094,175729,28161,
36519,161201,85381,54330,29072,4544,
3231,13559,7629,4434,3003,3589,
36088,159379,84854,54103,28811,5195,
11706,54762,33479,21584,11064,4077,
618300,2940409,1434610,965515,450509,8230,
15588,66946,37770,24002,12732,4642,
576275,2703068,1349736,930490,406508,79817,
144361,589192,259371,170101,84401,8796,
43955,205290,117789,69888,45386,5000,
174061,775911,404830,250378,136322,11541,
16372,69602,42147,26595,14442,5001,
1523,6470,4647,2888,1644,3948,
123212,491792,192297,127064,62481,6311,
507935,2362393,1243722,803593,419783,15802,
36062,159162,94542,60177,32328,5147,
44302,202684,114351,71280,40483,5801,
1836,8442,5491,3396,1963,5183,
39319,174299,96694,61972,32386,8037,
45598,217825,127378,76397,48070,5069,
155091,697290,406279,252245,141532,15426,
4453363,22977510,11698943,7439346,4141942,171142,
893408,4703561,2555687,1640888,864488,60807,
135607,658622,437510,262224,164364,20107,
14157,62513,43892,26838,16005,5076,
649650,3089348,1556972,1042888,492329,28150,
15601,65651,40567,25512,13715,4556,
52203,273067,124799,74108,48108,11522,
500147,1988985,628540,425057,188698,10334,
39219,187177,108981,64107,42340,8250,
738044,2998597,1085421,722659,353627,15973,
266531,1045708,354380,229775,107391,5465,
243542,1192444,794901,507380,278932,55637,
15950,66516,40906,25585,14061,4915,
445676,2075356,1007178,656251,340285,22164,
90867,404195,223010,138598,73854,10573,
78920,337177,175799,111917,60544,9363,
1639,7640,5191,3194,1893,4340,
40027,172301,94365,60010,32255,5313,
49555,236050,138561,84756,50333,7160,
123951,556945,303490,187131,107877,9528,
781318,3853407,2305796,1491442,779788,39926,
131750,515451,217995,144865,70405,8022,
107836,455744,219342,140410,74153,11917,
9514,45082,29764,19153,9906,4176,
618560,2938059,1441376,970143,452486,14862,
111391,450572,174531,114698,56410,10034,
1639,7638,5858,3617,2117,3449,
13283,56266,31021,19427,10593,4035,
95,467,264,152,93,2527,
109609,515134,290928,175428,108252,9590,
88611,403268,221331,134708,79881,5363,
1241,6274,4644,3703,2860,3728,
21282,88593,56409,33658,20163,6796,
0,0,0,0,0,1916,
533421,2467683,1293404,837073,434415,15936,
86998,368669,175277,113187,58442,8098,
214279,1015266,609962,432351,170893,69414,
249120,1093997,624517,422687,187828,19137,
12970,67955,53214,32658,18338,5967,
150492,693858,386949,235111,141004,9642,
34466,151729,82515,52506,28060,6495,
13919,69454,50788,30631,19495,12641,
244716,1220159,813323,514373,289214,40672,
19469,91395,64648,39052,23854,10654,
615480,2925931,1433444,964987,449810,11052,
13986,59374,35115,22234,11800,6457,
1711,7935,5842,3656,2075,3915,
7837808,35925462,16390505,10816024,5265773,140677,
9286271,43325256,20443241,14454117,5894899,69221,
14559096,54113807,23227095,16234028,6864050,39386,
4088687,21108196,10688965,6819446,3757108,186622,
1579,7984,8440,4867,3412,4817,
719825,3453163,1809308,1188763,591809,36625,
3074,15838,10587,5850,4383,2742,
561979,2637170,1438028,929991,485070,39277,
42526,193326,120643,75544,42152,10216,
1658,7699,4916,2974,1837,6877,
605389,2978751,1452338,912078,518444,17977,
6294,30347,20615,13134,7065,4871,
74825,344599,200142,121784,73438,8255,
121767,541550,303633,186356,109545,9086,
234822,1012115,390045,281628,107353,9370,
39103,172649,96863,61721,32737,5469,
8733,41535,29724,18773,10238,4312,
34548,152088,81068,51591,27557,4096,
619426,2944593,1444069,971063,454379,10683,
50611,266383,122078,72505,47042,9454,
550398,2686379,1258772,793913,446653,11112,
95,467,261,150,92,2303,
128538,594161,331199,199344,122380,8404,
13309,56371,33200,20756,11394,5009,
232828,1147003,764251,483465,273225,50288,
13304,56358,35456,22224,12142,5583,
0,0,0,0,0,2218,
13328,56451,32779,20405,11320,4832,
553457,2574231,1311304,844740,443845,20242,
4173,20644,17868,10503,7092,6755,
60367,249675,151343,95963,52600,9545,
9640,49685,32892,20087,12152,5291,
97464,427967,244152,149914,89090,11606,
847081,4161744,2459038,1585479,834635,32029,
0,0,0,0,0,3217,
59423,277313,179404,107050,67753,16864,
17968,77620,42986,27456,14672,5037,
34472,151752,82973,52711,28220,4979,
617474,2933165,1439668,968388,452670,9191,
1639,7638,6180,3824,2242,4110,
279641,1333727,789104,563512,216893,68300,
95,467,261,150,92,3411,
93401,421957,230261,144359,80375,14717,
88190,401468,224080,136274,81052,6409,
983,4459,2922,1851,954,3545,
20877,95690,60755,37516,21754,6645,
0,0,0,0,0,1793,
13292,56310,30924,19388,10551,3485,
527190,2440561,1278888,827082,430386,13389,
11216,52445,29707,18251,10564,5554,
34487,151810,84560,53937,28636,4604,
5066,24835,15674,10081,5296,4114,
112526,504345,296745,184045,104720,15427,
3966007,20390455,10186082,6504930,3577885,110273,
5457,29699,21571,12846,7738,4466,
113623,565595,370153,220598,140385,16005,
23937,100722,55754,35931,18818,6877,
639719,3037904,1517584,1017825,478421,23189,
616864,2931924,1417797,955783,443780,9875,
5670,21172,13156,8123,4242,7176,
17700,75006,42436,26385,14763,7374,
95,467,261,150,92,3657,
53629,249001,139975,83441,52791,8238,
130138,566894,285876,177495,101077,6789,
1306,6742,6595,3533,2948,3442,
15526,65688,36422,22689,12447,4721,
259228,1037131,366691,242587,120448,6298,
13288,56297,34812,21628,12105,4487,
68524,283947,122478,79072,40685,7527,
519275,2404524,1262756,818169,423913,14903,
103777,424108,177521,118283,55574,6594,
5601,27244,18348,11704,6302,4569,
78180,364674,205633,124602,76015,10740,
109378,497013,275725,169649,98284,5512,
234822,1012091,392497,283937,107457,7510,
38246,169118,98442,63388,32449,6113,
47107,191700,87795,56994,29419,6347,
34644,152618,87203,55317,29717,4902,
615631,2926631,1423265,958540,446276,5884,
48845,257397,117425,70041,44996,5836,
79322,396644,199407,112047,84855,23453,
3718,17140,12063,8044,3583,4368,
53763,249553,139802,83580,52507,7822,
88084,400986,218665,133102,78921,4758,
228451,1130051,732377,467513,257647,37697,
16522,69858,40730,24942,14533,5111,
10695,42754,20546,13227,6822,13189,
13286,56286,31965,19939,11009,3795,
20113,92242,53248,32558,19105,5035,
502400,2333610,1211368,783843,407605,13633,
39441,171697,103793,65686,35625,7244,
11212,60263,45234,27161,16020,4291,
74923,345065,193739,118232,70788,7111,
856212,4217748,2504394,1612573,848944,29948,
983,4459,2805,1766,923,2777,
44925,207597,114930,70746,41295,5560,
21307,98466,71053,42992,26379,10440,
34620,152502,79986,50981,27109,4752,
34556,152171,77722,49392,26453,4308,
10182894,46655799,18852955,12844151,5887012,201148,
17102320,79179215,32273932,21122730,10878134,181236,
17800563,82388209,30733208,21015001,9581911,147188,
21500193,102235032,40731743,27852004,12717469,199661,
68545699,367374551,163320482,117063887,42874206,1402102,
54753117,299458660,126512594,92672137,31354323,800199,
13088292,77949783,34454773,23725592,10269873,512629,
38239275,202011823,109350026,71446431,36087327,693405,
58475,299961,202496,131032,69213,18293,
19878,91050,60293,36805,21697,10031,
1730,8101,8004,4961,2874,5738,
539640,2491285,1384786,892606,467918,73692,
5237,25622,19445,12338,6733,6989,
66706,303104,185598,113847,66773,17681,
362441,1743683,1038211,633335,392987,34209,
848466,4712784,2832073,1744285,1031764,85732,
129184,590742,326342,212988,107896,9625,
14321,61244,46626,28821,17035,5543,
51111,228011,129586,83643,43639,5427,
174773,717172,314795,205911,104352,11694,
1734,8115,6234,3800,2291,4881,
632057,3001843,1488874,1001671,468031,27961,
4247,19684,14590,9871,4154,5526,
169348,701960,314902,203166,106310,14538,
56209,251779,152423,95112,53573,5613,
3267,13279,8932,5675,2879,2538,
29783,131810,72515,46785,24496,4669,
33961,163091,63363,41903,19759,8254,
29872,132919,69673,45064,23421,5039,
141799,694506,221548,151717,63978,16439,
4282,21161,18401,10751,7342,7039,
548757,2537339,1253990,811494,421276,27567,
10098,51859,39913,24937,14232,7047,
78131,355403,204054,127845,71596,10804,
85545,381190,225391,141372,78239,5780,
238396,1026484,403354,289801,111937,10445,
52642,235532,135857,86661,46700,7517,
8008,38288,26617,16838,9129,3836,
49585,222808,121109,78227,40809,5814,
49405,221947,116089,75031,39033,4644,
49615,263437,120168,71461,46208,9827,
630483,2996330,1475680,992976,463957,19437,
2852,13073,8448,5275,3071,6013,
55690,255113,147760,91437,52979,11762,
54813,247167,151233,94503,53120,6109,
231147,1143534,762234,485459,268738,62235,
28152,125448,68109,43913,23114,5188,
0,0,0,0,0,2145,
28118,125318,70609,45363,24147,4511,
34735,160177,90145,56723,31830,6712,
1908,8842,6595,4076,2361,4221,
513974,2382607,1220561,792929,410851,20076,
67884,289860,143197,89485,46595,8751,
124740,558063,340231,212955,118054,22166,
3846519,18396403,9592304,6288540,3214237,117614,
769468,5209425,2583154,1525076,1019469,99549,
1155521,6202387,3714186,2288658,1363704,71964,
65472,345058,232468,135965,90377,11091,
639264,3036723,1527465,1023312,482920,29522,
38875,170872,106614,67192,36703,6757,
1734,8115,5842,3509,2200,4943,
651172,3101407,1561564,1040145,500202,31431,
2250,8479,8378,5120,3208,6876,
44132,197267,119227,72438,43405,11267,
41162,181456,115527,70477,41254,5603,
3715,17453,14588,9440,4585,5566,
18353,76612,44125,27925,14664,5219,
57503,227645,84392,57456,25875,3938,
17784,73967,46349,28987,16046,5446,
25299,110999,64813,39764,23321,6438,
1730,8099,6073,3692,2244,4373,
14924,62637,34873,21816,11886,4846,
503692,2335481,1193580,771664,402138,26882,
67927,303110,181808,111622,65677,12301,
62309,276771,172021,106361,60816,5473,
23213,114792,74069,43195,29804,12551,
56460,241413,149222,95180,49656,8807,
6236892,24385759,7472850,5177634,2153337,93324,
37961,166998,95088,60023,32864,5872,
34480,151769,80591,51288,27335,4313,
1735,8119,5940,3633,2173,3475,
34484,151761,79597,50789,26933,4673,
138201,546806,189653,128476,57922,4960,
741562,3444509,1645658,1102247,520711,20363,
187379,798892,378513,239833,130060,11883,
1272,6612,7085,3832,3136,4376,
16670,70507,39337,24280,13866,6774,
27505,108673,41685,27511,13720,3918,
13298,56290,30103,18856,10275,4637,
89012,365562,146973,95612,48271,7299,
6236,32944,25447,15190,9728,6794,
48661,214174,148625,83118,63139,25636,
508904,2366432,1256934,811626,423248,18853,
62085,281029,165427,102592,58626,9840,
60764,270864,157210,97419,55487,6006,
280607,1223141,518989,361844,152558,13578,
1085953,5854454,3507693,2169024,1283624,50554,
20569,96037,68500,41677,25186,8919,
47258,208196,125027,79113,42658,8070,
40530,182825,111100,69716,38646,5380,
128352,701483,404239,246099,150082,30375,
36177,158513,87155,55535,29441,4636,
5768355,22521291,6827512,4748170,1946929,90991,
404595,1941803,1015009,675987,320755,23048,
3901284,20100203,10153248,6486169,3559995,154909,
222524,1096806,724673,460886,255746,48999,
1514943,7773184,4376467,2771270,1537960,81038,
10300,57537,37675,23182,11179,7389,
299866,1669989,1049805,656502,375858,31179,
21496,97323,60892,37364,21670,6640,
1732,8113,6649,5910,4351,5209,
21449,89271,56426,32314,18234,8746,
8472,38798,29943,18820,10606,7239,
571888,2641341,1435585,924946,484917,41778,
914249,4619835,2736142,1758978,939381,42407,
8042,33459,24020,14896,8427,3522,
851969,4587854,2692274,1661861,989094,30782,
7975,38056,27646,17362,9600,4485,
278941,1536052,948812,590332,340809,21050,
49622,220087,129828,81747,44800,8660,
3338,14935,10210,6050,3882,6587,
36057,157927,84367,53952,28414,5072,
95,467,294,174,96,2516,
768183,3550221,1696522,1136243,537160,24758,
42000,185367,118550,72557,42195,6762,
8011,33334,23334,14360,8278,2631,
819411,4420217,2572439,1588623,945713,24694,
607201,2395192,785984,533883,239468,9909,
400567,2013291,1073614,675120,379294,18594,
22618,103045,64178,39497,22822,7411,
4265,21114,17560,10400,6861,6670,
14915,62572,35073,21996,11911,4602,
24081,113583,76638,46582,28986,7158,
574134,2647884,1415564,911672,478707,28083,
66712,292976,180436,111868,63774,6997,
7979,33195,22792,13996,8127,2566,
829866,4458124,2572265,1586740,946957,18574,
2088433,8339880,2682898,1813533,844562,17700,
985474,4331801,1823801,1170035,604335,17303,
57618,254973,152616,98034,50477,11213,
2152,10231,7014,4334,2487,6042,
36039,157816,88000,55994,29781,5743,
95,467,268,153,94,2876,
696832,3267560,1593998,1066849,505371,19568,
41958,185103,116218,71340,41161,7555,
11558,49566,33013,20493,11699,7006,
805479,4349003,2505604,1546574,921806,15519,
19334,70230,40448,25298,15066,3678,
306472,1636904,937038,583343,336584,18112,
21498,97333,57894,35600,20527,4886,
1929,8913,6456,3938,2357,6162,
15093,63422,35784,22489,12103,4876,
8758,38499,26413,16660,9423,4845,
564466,2598953,1351730,872096,456199,26769,
3934847,20238633,10169471,6495849,3569105,135716,
245395,1060056,422995,301248,119800,10976,
907727,4868668,2879615,1768631,1065069,35698,
50811,204820,81896,54298,26234,6297,
964352,4739872,2454829,1605387,811656,38091,
101051,421640,204701,132436,67891,10443,
49160,260566,118528,70607,45499,8984,
41027,180272,105120,66153,36312,9381,
160018,629257,211335,141670,67199,5639,
62172,280789,165516,102212,58957,9107,
643891,3053598,1504408,1006913,476401,17027,
217858,1071287,697501,447018,243422,46399,
825324,4447514,2600865,1601679,960166,25271,
51539,204380,75127,50519,23601,4414,
254451,1424866,840206,520175,304317,14408,
72423,296465,126442,82908,41733,7669,
6052,28903,15989,9418,5929,4581,
14903,62539,35607,22420,11989,4933,
9205,43954,31992,20997,10084,6439,
45072,200242,119369,72052,44147,9988,
1311251,6308214,3620216,2340368,1222526,61458,
6901,28601,19817,12296,6938,2999,
836846,4499190,2615764,1614398,961022,20379,
774887,3070904,1045093,702278,328228,11394,
284832,1563580,966476,600577,348271,17509,
50477,222924,129942,83064,43386,12216,
297893,1195708,460705,302903,150084,13669,
36042,157863,85665,54800,28773,5178,
187940,746583,262042,177080,81177,5481,
62929,283901,163337,100881,58153,9067,
644002,3054530,1518592,1016501,480658,19361,
1318,5153,4303,2731,1550,2331,
21944,91783,53311,33265,18295,8479,
126721,508899,197887,131288,63883,6349,
21745,87335,49330,30768,17392,4565,
16785,72392,45320,27623,16377,5341,
12883,68195,46197,27415,17706,8137,
14860,62376,34590,21647,11816,4544,
7540,42087,32830,19150,12082,4630,
46340,209198,122680,74473,44867,7813,
562044,2594854,1350223,869552,456462,27064,
29061,128573,84655,51706,30542,7611,
866738,4617410,2708600,1677257,990061,19341,
11185,52441,37234,21821,14401,8317,
286162,1570675,973487,605006,350269,16707,
171230,695719,282354,188798,87310,10132,
1806,8410,5646,3433,2086,4647,
36106,158113,90360,57414,30690,5502,
110413,436286,159039,106293,51015,5610,
4244045,21783966,8217982,5803966,2207662,108713,
4242725,21754662,10956765,7028960,3808764,161286,
17237,76755,56837,34018,21208,7707,
1515179,7768163,4337213,2748988,1522840,63659,
20258,78644,51000,30973,19643,6097,
312803,1718261,1052702,658325,376864,25954,
16760,69250,44474,27551,15631,4825,
8340,42906,27639,16297,10659,8437,
126446,504745,200218,132731,64207,11046,
11804,51489,28384,17884,9822,7800,
46201,210878,128071,77287,47232,9879,
400024,2054467,1275640,786602,485309,19333,
1173289,5745642,2962937,1898316,1004222,41680,
1076007,5854617,3409369,2108284,1247161,26347,
2205,8017,6581,3911,2660,3406,
300553,1635652,974263,607406,348033,17622,
53630,236641,141176,89331,48493,8717,
49092,260321,117120,69711,45019,8032,
3594990,14070580,4411589,3053713,1287128,72026,
979983,3811416,1152494,791579,333260,16862,
65377,295953,170064,104904,60823,9270,
657084,3116074,1569186,1048598,497810,17364,
263548,1282660,856702,545688,305358,55524,
813000,4387319,2543285,1566680,931737,18807,
0,0,0,0,0,2813,
265224,1466409,874621,542373,316281,13946,
46050,190807,96149,61577,32281,7769,
16574,73475,51150,30321,20158,9164,
17576,74018,44069,27549,15240,5496,
12597,55768,36690,21990,14300,6147,
117969,579201,272173,162064,105896,32188,
902861,4571816,2722271,1751548,931991,52071,
498046,2308574,1208468,781833,406582,26061,
147884,621746,311144,197943,106594,15414,
702136,2798672,915502,613854,285144,7387,
1878915,7513728,2429020,1632203,756802,13196,
39882,173867,98614,62815,33553,5397,
1734,8115,5241,3126,1994,3811,
37767,165881,91045,58028,30807,6431,
45531,188232,78382,51192,25871,4928,
89297,390753,209073,130774,73577,11987,
76030,341545,200318,123620,70902,7041,
983,4459,2815,1780,921,3313,
1641391,6951241,2714307,1854894,825052,40206,
3542650,13813745,4309332,2974107,1252785,56525,
24898,104383,64050,40104,21648,7045,
14957,64013,35756,22606,12127,4383,
10059,51893,32849,19142,12927,6928,
46528,193628,88322,56023,29776,6168,
2770,10169,6960,4263,2665,3517,
58533,266147,159077,99553,58489,13947,
3964829,20365806,10197286,6515363,3574629,130523,
46976,190780,73718,48853,23774,4057,
1599853,8304550,4818913,2996238,1742723,80687,
15689,68636,47347,30614,15124,7541,
644413,3059927,1553866,1041321,490736,22715,
463523,1855272,700195,465573,224817,15844,
4016,18710,13593,8624,4511,6586,
97120,400011,188536,122075,62738,10741,
22965,91253,30244,20416,9345,2801,
65715,297227,173573,106969,62352,11532,
552550,2841537,1715475,1050640,640556,17212,
269719,1559969,836903,514605,305960,7751,
862457,4322876,2286387,1495263,757316,22317,
6601,28211,18816,11980,6129,4803,
18319,78229,47862,30178,16267,8320,
171785,682063,254994,169734,81290,6898,
8339,42903,26398,15619,10115,6907,
16535,70152,40591,25565,13803,5507,
96,471,237,136,84,1995,
104357,445883,212422,133847,73932,10664,
126789,561224,302954,187778,100248,9226,
234995,1013034,393010,283900,108029,8471,
554997,2559423,1350363,874104,452081,25022,
2769,10920,8896,5717,3136,3713,
695254,2778433,995450,669350,310576,13033,
43368,191064,111531,71810,36906,6754,
49284,260916,118309,70483,45400,7462,
106717,437347,193201,125115,64970,7209,
95,467,254,149,86,2631,
66972,303377,172640,106683,61598,7609,
138996,639375,364738,223614,131294,9170,
225371,1112510,722777,458819,256816,46275,
638639,3025617,1505984,1009698,475764,14615,
0,0,0,0,0,2355,
2527259,10069472,3269096,2197774,1024279,16555,
14930,64018,35409,22357,12028,3477,
12881,68187,48314,28764,18453,7464,
15088,64711,36634,23032,12513,5614,
8707,46741,37054,20957,14244,4370,
54788,253603,153192,92588,56745,9229,
927826,4613605,2548059,1640204,859838,52733,
983,4459,2794,1761,916,2783,
32150,150961,99633,60375,36514,10899,
507927,2355744,1220928,788463,412087,22954,
68750,310681,198706,126514,66877,8355,
42739,185419,108139,68957,36499,4917,
1806,8410,5228,3189,1908,3785,
36093,159313,86956,55569,29388,5834,
95,467,257,150,88,2069,
65617,298302,168517,103688,60624,9288,
4019209,20577358,10315341,6586348,3621027,122820,
2011,7305,7322,4306,3003,3421,
1110240,6044506,3594015,2202217,1330590,71189,
21330,84423,56149,35289,19902,7033,
653629,3090405,1556044,1044010,490760,25999,
71631,349273,219353,141540,75409,12276,
8318,42834,29078,17263,11101,6535,
19576,81811,46465,28697,16328,7830,
1070,3986,2063,1288,746,3076,
49102,224571,133708,81176,48867,9308,
52292,233752,142747,86928,51195,6742,
0,0,0,0,0,1906,
20665,87668,54116,34261,18152,5772,
563024,2585319,1304341,850321,441863,22794,
113994,452094,200962,126484,60720,12300,
38634,171095,100991,63787,34854,6194,
7211,28982,20106,12067,7764,6538,
36065,158002,89150,56872,30045,5078,
95,467,256,150,87,2699,
67532,303952,171786,105746,61618,8035,
73452,329087,190333,117677,67170,6717,
0,0,0,0,0,1811,
48754,209195,119022,74993,40284,6890,
124776,495412,184728,123106,59394,6779,
625350,2961935,1456873,979444,458776,14732,
13841,58724,34272,21684,11504,6350,
10870,55894,38228,22607,14809,8491,
17083,69993,39517,24637,13857,5924,
56324,231642,100066,66060,32305,8207,
47896,219916,127957,77748,46764,9465,
51384,230547,134200,82131,47769,6163,
234448,1010458,387722,279986,106676,6850,
21670,93757,56434,36388,18132,8327,
486890,2264674,1114213,723284,374388,13084,
63691,271742,156012,98153,52777,8752,
34580,152395,85699,54686,28958,4476,
48941,257886,116345,69330,44628,7317,
34435,151627,84116,53544,28513,5759,
4261,15616,8975,5540,3400,2793,
63616,288944,163473,100578,58725,9256,
71865,322945,186218,115309,65562,7659,
224431,1108410,716600,458247,251204,39667,
40441,183121,113204,71015,39537,6710,
0,0,0,0,0,1952,
615374,2925396,1432898,964639,449601,9564,
13832,58681,34527,21806,11634,5384,
70119,324876,206868,147833,56761,39768,
13224,56048,34013,21287,11631,5375,
95,467,241,139,83,2620,
52036,245642,146979,89986,56315,10720,
4065451,19679285,10382838,6770623,3507615,85820,
667738,4606191,2145621,1264891,851170,56197,
658729,3137694,1594579,1062846,508703,26307,
54471,296880,193496,111408,77470,5445,
567124,2602087,1377069,887925,466143,27141,
93445,387110,176617,115652,57545,7300,
1734,8115,4997,2984,1899,4070,
38196,167562,95395,60109,32866,7423,
114,526,293,171,100,3908,
63531,288506,167181,102811,60167,7882,
71954,323393,195231,120521,69150,7102,
34,130,90,58,28,2292,
48354,208978,118468,75052,41189,7028,
44505,176313,66784,44653,21145,5012,
619351,2940440,1440592,968964,452901,10075,
20859,85849,48499,30712,16750,6630,
14270,65911,38640,23649,14274,6703,
14726,61824,35153,22034,12095,5692,
4465,20563,15474,11213,3568,3793,
47240,216945,125073,75967,45807,8679,
53591,239168,140887,85741,50866,7370,
7465,32049,20261,13867,5799,3353,
23933,105653,66834,43853,20838,7071,
3808,13663,8326,5066,3241,2392,
623241,2814546,1379572,894906,461840,21002,
60450,253865,126537,81679,42204,6504,
5720,30389,23983,13836,9187,5427,
111425,532426,273743,159254,110982,25771,
95,467,255,148,90,2149,
192754,818754,364289,240320,127480,11732,
230077,934236,403369,253745,130342,7515,
2292,11169,8007,4945,2861,4220,
67434,284379,143741,92404,48324,8131,
163,728,708,525,163,4254,
2340022,9344313,3073151,2058237,971529,13985,
617722,2936057,1434319,965491,450301,7415,
18891,91970,60944,36999,22836,8843,
14961,63540,39051,24389,13399,7437,
6380,36130,32260,19419,11164,3050,
49713,226700,134342,81851,49106,8238,
116581,489023,236286,149051,81312,11201,
281927,1199220,456573,326179,128405,8886,
13224,56064,32412,20230,11154,4805,
132970,535963,198082,130008,64855,9605,
21192,94106,56028,35360,19082,6351,
530537,2452145,1263794,817343,425049,20812,
418896,1968687,1053337,737941,303359,71812,
532306,2107362,718871,481355,227310,10897,
95,467,242,139,86,2930,
75152,338296,200141,126912,68731,12063,
4318794,22001609,11141060,7105451,3924303,140989,
1020778,5552578,3367106,2089102,1213211,107379,
167925,831905,571195,342478,214688,40217,
1962,9269,6022,3369,2409,3990,
633550,3006318,1512622,1016016,475971,27875,
664550,3186232,1596627,1072211,504826,18733,
8318,42834,29330,17233,11374,6687,
21022,89274,53387,33309,18517,9202,
114,526,285,166,98,3307,
230202,947443,406653,264452,135401,19028,
1328905,6708437,3982739,2519736,1415614,53516,
233382,1366252,735676,447698,262010,4262,
277118,1538488,959961,594749,347498,20521,
2197,8041,8277,5015,3246,3747,
164574,661770,268599,177026,87455,9844,
551369,2545298,1330498,858155,449237,39631,
1734,8115,5449,3332,2001,4400,
39515,174004,101075,64706,34089,5709,
95,467,261,150,92,2204,
71354,324390,189318,116871,67905,8559,
101636,461444,270630,166266,96356,8038,
3271,13311,8077,5114,2632,2201,
39462,173749,95615,61234,32212,4898,
26050,129522,46774,31586,13662,6473,
40475,177559,98492,63001,33315,6078,
636682,3018025,1500247,1006536,473183,14626,
57557,240306,107236,68265,37119,10548,
18899,81047,48069,30621,16101,6160,
54829,224626,92682,61435,29796,6459,
167783,699830,306320,195602,105323,11600,
81063,368654,208297,126622,75135,6570,
17444,67657,32954,22685,8725,4276,
30238,126937,77380,47849,27142,6944,
0,0,0,0,0,2260,
43336,177709,105747,66358,37662,7212,
536733,2480345,1288857,834987,432106,18123,
7861,32325,20395,12719,7470,4929,
37854,167473,91801,58813,31003,5921,
4242,15591,9750,6002,3711,2495,
92195,409652,216869,134512,77240,10703,
105300,475045,269057,165211,96460,8831,
2957,11584,7143,4467,2552,3442,
1028707,5606354,3326641,2047437,1225833,35200,
3876,14011,12255,7268,4967,3329,
48803,215233,129181,82259,43650,9038,
343733,1670874,836798,564957,259141,11223,
8515,43636,27334,16225,10419,6770,
28954,115437,64890,40811,22806,6702,
95,467,261,150,92,3136,
60545,276408,165154,102278,58519,9481,
4245764,21901308,11040710,7036228,3911337,142876,
809750,4185195,2143502,1354029,739950,20716,
1214083,5822898,2943583,1909112,989183,50763,
10023,44507,26067,16366,8625,5389,
48144,200712,126825,79347,44981,10185,
15107,63563,36956,23166,12609,3769,
578600,2709196,1423302,914146,484669,29472,
39919,174253,107710,67651,37344,7795,
114,526,338,194,116,3269,
124265,531540,271533,170542,95101,11006,
603089,3081831,1860953,1138676,693779,16548,
439935,2404871,1407160,885225,502008,55171,
353444,1861480,1094948,681671,393600,20107,
2539,9937,7078,4480,2565,2472,
52397,228212,144643,91446,49665,8401,
595846,2850434,1406668,951135,442182,12720,
29497,121605,78724,47630,26958,6688,
17122,72800,44754,28389,15009,6174,
96,471,299,168,107,1996,
55646,256090,151841,91823,56087,11900,
821105,4042655,2411424,1554367,818623,37632,
2810,10278,7325,4646,2667,1846,
34410,157766,102176,62798,36165,9312,
145,648,670,504,153,2310,
678278,2701915,957588,639779,303432,13382,
74156,297841,118475,77493,38672,5433,
514252,2372829,1242078,803953,418000,18880,
37963,167049,101083,64713,33995,4720,
95,467,253,142,92,2004,
74451,335419,194129,119133,70590,6618,
99124,449463,256159,157316,91237,9070,
2742,15018,12945,7577,5212,2585,
173480,755050,379563,238523,132424,13372,
0,0,0,0,0,3209,
53781,229880,118697,76372,40011,6741,
43975,196985,113903,71436,40041,5874,
10857,54730,38644,22676,15153,6671,
617096,2933448,1439027,968478,451837,10253,
109590,448625,181203,119508,57433,7176,
183233,763791,320807,208336,105656,11046,
76558,348883,198240,120357,71612,7259,
109383,433919,152208,102685,47278,5285,
14882,63770,35849,22540,12310,3814,
0,0,0,0,0,5265,
33042,149258,95597,58538,34389,8434,
15185,65235,35062,22068,12015,3857,
1806,8410,5816,3606,2091,4004,
744382,3350415,1778198,1141150,599204,34913,
